a_hat,N_hat,Nu_hat,No,trial,T,alpha,N,type
-999.0,676.3725299835205,337.3725299835205,339,105,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,232.75226593017578,125.75226593017578,107,1050,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,420.58123779296875,214.58123779296875,206,1050,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,552.9965286254883,276.9965286254883,276,1050,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,636.1284255981445,306.12842559814453,330,1050,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,257.9098663330078,143.9098663330078,114,1051,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,390.67169189453125,175.67169189453125,215,1051,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,534.6657657623291,243.6657657623291,291,1051,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,590.1529998779297,248.1529998779297,342,1051,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,248.62132263183594,139.62132263183594,109,1052,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,410.79307556152344,196.79307556152344,214,1052,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,552.905725479126,273.905725479126,279,1052,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,737.8179874420166,404.8179874420166,333,1052,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,238.54668426513672,131.54668426513672,107,1053,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,367.4659118652344,155.46591186523438,212,1053,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,515.256664276123,237.25666427612305,278,1053,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,701.5055866241455,374.5055866241455,327,1053,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,236.0252685546875,124.0252685546875,112,1054,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,397.88036346435547,192.88036346435547,205,1054,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,631.5404415130615,356.5404415130615,275,1054,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,735.2897930145264,420.28979301452637,315,1054,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,232.75222778320312,124.75222778320312,108,1055,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,427.23282623291016,220.23282623291016,207,1055,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,596.0359191894531,315.0359191894531,281,1055,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,757.6717739105225,428.67177391052246,329,1055,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,253.5850830078125,141.5850830078125,112,1056,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,408.56922149658203,193.56922149658203,215,1056,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,578.8481502532959,301.8481502532959,277,1056,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,693.30126953125,361.30126953125,332,1056,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,247.0526885986328,137.0526885986328,110,1057,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,401.34889221191406,195.34889221191406,206,1057,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,525.1926422119141,241.19264221191406,284,1057,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,651.1278476715088,324.1278476715088,327,1057,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,236.7200469970703,126.72004699707031,110,1058,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,361.0188751220703,147.0188751220703,214,1058,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,498.14894104003906,224.14894104003906,274,1058,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,656.4054832458496,333.4054832458496,323,1058,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,239.04873657226562,132.04873657226562,107,1059,5,0.5,1000.0,Pseudolikelihood one-parameter
