a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.7434620599357626,409.73799606063847,821.7379960606385,412,165,25,0.5,1000,Beta-binomial
0.548978208801735,479.3362034793006,907.3362034793006,428,165,30,0.5,1000,Beta-binomial
0.5355103204594598,463.0656094697893,921.0656094697893,458,165,35,0.5,1000,Beta-binomial
0.466998074569777,380.193586274472,889.193586274472,509,165,40,0.5,1000,Beta-binomial
0.21077116407299148,313.18927677954326,851.1892767795432,538,165,45,0.5,1000,Beta-binomial
0.2147010778863178,296.41332493676936,846.4133249367694,550,165,50,0.5,1000,Beta-binomial
0.15484373626780523,2237.9138528509993,2365.9138528509993,128,166,5,0.5,1000,Beta-binomial
0.2390014311360547,1392.3006424054925,1608.3006424054925,216,166,10,0.5,1000,Beta-binomial
0.8679520172947607,371.34634399193504,681.3463439919351,310,166,15,0.5,1000,Beta-binomial
0.3741615957988419,549.905216482268,920.905216482268,371,166,20,0.5,1000,Beta-binomial
0.28749145027548395,581.9974629834301,1003.9974629834301,422,166,25,0.5,1000,Beta-binomial
0.34220607469232406,500.07769235929254,931.0776923592925,431,166,30,0.5,1000,Beta-binomial
0.1185059941548983,406.33800637813647,878.3380063781365,472,166,35,0.5,1000,Beta-binomial
0.1196505359001885,385.0086641727127,876.0086641727128,491,166,40,0.5,1000,Beta-binomial
0.2500579049702241,456.1812583270447,952.1812583270447,496,166,45,0.5,1000,Beta-binomial
0.24096852599993246,463.47872323261817,966.4787232326182,503,166,50,0.5,1000,Beta-binomial
1.055396500592809,382.1802645719176,581.1802645719176,199,167,5,0.5,1000,Beta-binomial
1.1318110326339506,416.0148613758752,662.0148613758752,246,167,10,0.5,1000,Beta-binomial
1.1368849468879914,384.7306387994948,723.7306387994947,339,167,15,0.5,1000,Beta-binomial
1.15961587776346,327.49924092664855,708.4992409266486,381,167,20,0.5,1000,Beta-binomial
1.1414439165804797,310.49504062760076,715.4950406276007,405,167,25,0.5,1000,Beta-binomial
1.0677391360968802,319.82164309648505,753.8216430964851,434,167,30,0.5,1000,Beta-binomial
0.7358272213478309,388.0530290250077,848.0530290250076,460,167,35,0.5,1000,Beta-binomial
0.6364420519259292,367.2384447411282,844.2384447411282,477,167,40,0.5,1000,Beta-binomial
0.577777789259383,371.8109056160846,870.8109056160846,499,167,45,0.5,1000,Beta-binomial
0.5202025165659819,411.60860255565456,924.6086025556546,513,167,50,0.5,1000,Beta-binomial
0.6356090335918874,611.3761168633894,816.3761168633894,205,168,5,0.5,1000,Beta-binomial
0.10697625277705819,1958.0568363880006,2284.0568363880006,326,168,10,0.5,1000,Beta-binomial
0.1097989474058992,1805.4178152986472,2165.417815298647,360,168,15,0.5,1000,Beta-binomial
0.09608094250396028,1906.6976614029638,2317.6976614029636,411,168,20,0.5,1000,Beta-binomial
0.2929592182636267,819.0049238782974,1254.0049238782974,435,168,25,0.5,1000,Beta-binomial
0.5133597601834632,407.65628317958834,889.6562831795884,482,168,30,0.5,1000,Beta-binomial
0.4565668391270055,446.98557460402213,950.9855746040221,504,168,35,0.5,1000,Beta-binomial
0.5435223210199376,360.35449436029796,871.354494360298,511,168,40,0.5,1000,Beta-binomial
0.4972396012178178,379.04732583815,911.0473258381501,532,168,45,0.5,1000,Beta-binomial
0.43892374042737436,365.2023304113992,916.2023304113992,551,168,50,0.5,1000,Beta-binomial
0.018924950270811897,197.65145231181978,492.65145231181975,295,169,5,0.5,1000,Beta-binomial
0.02167799207566724,217.7482283429339,537.7482283429339,320,169,10,0.5,1000,Beta-binomial
0.016755825049352583,90.42236779876342,486.4223677987634,396,169,15,0.5,1000,Beta-binomial
0.4104354732086199,115.57945264773161,587.5794526477316,472,169,20,0.5,1000,Beta-binomial
0.2358511764320451,5.635891398318981,500.63589139831896,495,169,25,0.5,1000,Beta-binomial
