a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.2931763347214563,2675.1180117734525,3030.1180117734525,355,101,15,2.0,1000,Beta-binomial
2.741742423377186,579.6518193280142,994.6518193280142,415,101,20,2.0,1000,Beta-binomial
3.0348505322176877,414.146957389536,924.146957389536,510,101,25,2.0,1000,Beta-binomial
1.8653395434202875,462.1069124315888,1040.1069124315889,578,101,30,2.0,1000,Beta-binomial
1.0334595110562805,546.9939278217014,1185.9939278217014,639,101,35,2.0,1000,Beta-binomial
2.2647319365502767,364.20597172439966,1031.2059717243997,667,101,40,2.0,1000,Beta-binomial
2.579194439695946,286.31134795902494,967.3113479590249,681,101,45,2.0,1000,Beta-binomial
2.1122366392837786,302.9829990137406,1002.9829990137406,700,101,50,2.0,1000,Beta-binomial
0.1662262731563406,4277.085461754859,4397.085461754859,120,102,5,2.0,1000,Beta-binomial
0.557353708139732,1757.6163264474314,1990.6163264474314,233,102,10,2.0,1000,Beta-binomial
1.8901709476347663,783.7799159888403,1131.7799159888405,348,102,15,2.0,1000,Beta-binomial
1.5724038578462267,705.5739207488393,1170.5739207488393,465,102,20,2.0,1000,Beta-binomial
2.2817650565282013,482.29378526035174,1047.2937852603518,565,102,25,2.0,1000,Beta-binomial
1.8747716853922158,493.6408885427976,1068.6408885427977,575,102,30,2.0,1000,Beta-binomial
1.8365314854448258,433.4144836350648,1065.4144836350647,632,102,35,2.0,1000,Beta-binomial
2.1787746828483074,376.0828719325148,1023.0828719325148,647,102,40,2.0,1000,Beta-binomial
1.904548777516155,277.5871369914766,964.5871369914767,687,102,45,2.0,1000,Beta-binomial
1.8205941970029813,310.93073514288693,1016.930735142887,706,102,50,2.0,1000,Beta-binomial
1.0457365912078467e12,595.9871384220538,727.9871384220538,132,103,5,2.0,1000,Beta-binomial
0.3280952809816167,2501.371485417305,2784.371485417305,283,103,10,2.0,1000,Beta-binomial
2.8281634301181744,563.5229506019936,931.5229506019936,368,103,15,2.0,1000,Beta-binomial
1.6186364706409642,775.2680748578111,1188.2680748578111,413,103,20,2.0,1000,Beta-binomial
1.6593101982362994,612.9434316200094,1161.9434316200095,549,103,25,2.0,1000,Beta-binomial
1.628112430447019,427.9022784500825,1024.9022784500826,597,103,30,2.0,1000,Beta-binomial
1.9238337040359252,362.93653278186326,1008.9365327818632,646,103,35,2.0,1000,Beta-binomial
2.5915609129736277,238.19479853907063,967.1947985390707,729,103,40,2.0,1000,Beta-binomial
2.3279342720123735,209.60235647008744,956.6023564700874,747,103,45,2.0,1000,Beta-binomial
2.8721087823868867,189.35004555351412,951.3500455535141,762,103,50,2.0,1000,Beta-binomial
1.2136172064348854e53,454.98416459476545,552.9841645947654,98,104,5,2.0,1000,Beta-binomial
1.3733552452941165e19,326.8843239304435,523.8843239304435,197,104,10,2.0,1000,Beta-binomial
2.0753862875950717,557.5185662184141,818.5185662184141,261,104,15,2.0,1000,Beta-binomial
1.7799006143129699,554.7673503929353,948.7673503929353,394,104,20,2.0,1000,Beta-binomial
1.2605743217405514,676.9215163318169,1107.9215163318167,431,104,25,2.0,1000,Beta-binomial
4.545574018185614,293.5852653451604,794.5852653451605,501,104,30,2.0,1000,Beta-binomial
3.645035837922465,298.3678600212587,853.3678600212587,555,104,35,2.0,1000,Beta-binomial
3.3567851615557065,245.02818326753197,839.028183267532,594,104,40,2.0,1000,Beta-binomial
3.4257245777526864,267.40991904110683,895.4099190411068,628,104,45,2.0,1000,Beta-binomial
2.4034589283222174,274.8181172647607,947.8181172647608,673,104,50,2.0,1000,Beta-binomial
0.13363657279967797,10859.79292274918,11056.79292274918,197,105,5,2.0,1000,Beta-binomial
0.3253740761617471,2587.954362157546,2870.954362157546,283,105,10,2.0,1000,Beta-binomial
1.2919961071956496,1005.223687285207,1369.223687285207,364,105,15,2.0,1000,Beta-binomial
3.3439046925902485,485.05159077067043,915.0515907706704,430,105,20,2.0,1000,Beta-binomial
3.5656164659144896,308.26871400529654,842.2687140052965,534,105,25,2.0,1000,Beta-binomial
4.219314693439849,253.02327273087718,841.0232727308771,588,105,30,2.0,1000,Beta-binomial
3.579796962288547,267.00943146013293,881.0094314601329,614,105,35,2.0,1000,Beta-binomial
2.706587444161531,269.0284474390529,929.0284474390529,660,105,40,2.0,1000,Beta-binomial
2.5496933637195567,244.70009649410142,925.7000964941014,681,105,45,2.0,1000,Beta-binomial
1.8290231000277193,310.1325765235888,1035.1325765235888,725,105,50,2.0,1000,Beta-binomial
5.0515458395288867e8,816.3963726615332,913.3963726615332,97,106,5,2.0,1000,Beta-binomial
0.44034658514205915,2001.8048564484595,2162.8048564484598,161,106,10,2.0,1000,Beta-binomial
0.9902545931971191,798.6037476744452,1038.6037476744452,240,106,15,2.0,1000,Beta-binomial
1.624256406990361,602.0408479902628,934.0408479902628,332,106,20,2.0,1000,Beta-binomial
3.2440552568976435,346.57263872901655,815.5726387290165,469,106,25,2.0,1000,Beta-binomial
1.9344053377084047,441.14853298559245,963.1485329855925,522,106,30,2.0,1000,Beta-binomial
1.0557640027591488,624.4916473950818,1176.4916473950818,552,106,35,2.0,1000,Beta-binomial
1.1544980468551627,450.3334776416411,1041.3334776416411,591,106,40,2.0,1000,Beta-binomial
1.0408241629961579,501.924788358775,1130.924788358775,629,106,45,2.0,1000,Beta-binomial
1.2647487010462544,373.04587820263043,1025.0458782026303,652,106,50,2.0,1000,Beta-binomial
3.8793031097734427e9,499.36708362975446,598.3670836297545,99,107,5,2.0,1000,Beta-binomial
0.7693036833112937,1125.3760628357072,1483.3760628357072,358,107,10,2.0,1000,Beta-binomial
1.3086327824247368,735.9481911743444,1169.9481911743444,434,107,15,2.0,1000,Beta-binomial
2.4715032928054277,434.662808250085,925.6628082500849,491,107,20,2.0,1000,Beta-binomial
2.0721560879460146,446.21819469426106,1001.218194694261,555,107,25,2.0,1000,Beta-binomial
1.8961423618977844,409.3622454704683,991.3622454704682,582,107,30,2.0,1000,Beta-binomial
1.8751921598343968,469.4415179037031,1081.441517903703,612,107,35,2.0,1000,Beta-binomial
1.9899986282852824,399.78489956425057,1044.7848995642505,645,107,40,2.0,1000,Beta-binomial
1.7985198384966554,350.8606477179195,1055.8606477179196,705,107,45,2.0,1000,Beta-binomial
2.247725496696897,277.66784631731764,997.6678463173176,720,107,50,2.0,1000,Beta-binomial
1.5781457299709347e36,560.954712570848,698.954712570848,138,108,5,2.0,1000,Beta-binomial
9.942457942987511e17,528.8914743286819,761.8914743286819,233,108,10,2.0,1000,Beta-binomial
26.463752393107065,395.5918946268938,734.5918946268938,339,108,15,2.0,1000,Beta-binomial
3.5198879003035404,452.0069211841753,868.0069211841753,416,108,20,2.0,1000,Beta-binomial
10.334423942153816,349.821474890804,811.821474890804,462,108,25,2.0,1000,Beta-binomial
2.831406269548126,409.26329717730135,1018.2632971773014,609,108,30,2.0,1000,Beta-binomial
1.7872076268463766,388.4440659714413,1044.4440659714414,656,108,35,2.0,1000,Beta-binomial
