tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	retweeted	replied_to
1596383471924305921	RT @TGTM_Official: Xinjiang Urumqi residential building fire, the last words of the victims on the 16th floor before they were burned to de…	1466726792983580673		['1500639956737597442']		1.596161933937234e+18	
1596383472171421697	RT @ChinaUncensored: More Covid protests https://t.co/6zyhZhx23R	1461744730665070603		['833100331']		1.5961151268093993e+18	
1596383472616361985	RT @naimaqureshi8: All embassies have cleared the covid backlog. @usembislamabad is still stuck on Pakistani Immigrant cases of early 2021.…	1577906021586042880		['1512298873837993986', '218443914']		1.5961823220551148e+18	
1596383472351731714	RT @Leftylockdowns1: Another noteworthy aspect of Fauci's deposition (sorry for piecemeal reporting, it's the result of trying to process 7…	88081716		['1302455125739556869']		1.5962608307731374e+18	
1596383472134033411	"@Jose_Pro_Se @TravAlvord @akheriaty @AaronSiriSG His father has posted on Facebook that Kaden Clymer wasn’t vaccinated, @Jose_Pro_Se.

It was a congenital defect. Had nothing to do with Covid or the vaccine: https://t.co/hjpkaZE6TD"	1431762585519595520	9.595054648107049e+17	['959505464810704896', '1429261284466323464', '54322957', '1446256675808186384', '959505464810704896']			1.5963813428956078e+18
1596383474331848704	"RT @DrJohnB2: A 37-year-old man
-  8-10 hours after the 2nd dose of the #Covidvaccine (Pfizer-BioNTech): fever, dyspnea, wheezing, oppressi…"	764049933544456192		['1400013985202704385']		1.463516682484396e+18	
1596383476717977600	However, it is weird how many MW2 ads/recommendations I'm getting from one video considering I haven't watched COD videos since lockdown.	4824476361					
1596383477896998912	@jhaskinscabrera She blocked me for telling her our side needs to be honest when she was tweeting mistruths. That’s why we will never succeed as a party or against tyrannical Covid restrictions	946243950557396992	14658147.0	['14658147']			1.596374841778897e+18
1596383479046242304	"RT @DrJBhattacharya: ""Emily Jo was never warned of the myocarditis risk or informed about the risk-benefit profile. “When I took Aiden to g…"	384442046		['1427361863830949908']		1.596200183297024e+18	
1596383479218212864	"@hypochondria48 @AmerigoFreedo @ChrisNollett @TomFitton @elonmusk @Twitter @Google @Apple Also, “there’s three types of lies.. lies, damn lies, and statistics”.  - Mark Twain 

NPR is the Converse of Daily Wire. Neither is impartial. The whole purpose of news is to frame your opinion. It works incredibly good. Can frame truth @ covid as misinformation 4 exampl."	1245890801357352961	3313953345.0	['3313953345', '1450637522430619648', '822535892', '18266688', '44196397', '783214', '20536157', '380749300']			1.5962256628968325e+18
