tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	retweeted	replied_to
1596542994064494592	RT @TGTM_Official: Xinjiang Urumqi residential building fire, the last words of the victims on the 16th floor before they were burned to de…	987861318605553664			['1500639956737597442']	1.596161933937234e+18	
1596542994253246464	RT @kamilkazani: Rearmament of the Russian military industry based on the technological import from the West scaled up once Putin took powe…	3459256157			['1364845405']	1.5965423174054052e+18	
1596542994643320832	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	3184388929			['19638752']	1.596239466779226e+18	
1596542994995449856	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1442886787416813572			['78523300']	1.5965153365722767e+18	
1596542994974330880	"RT @smc429: Dr. Jerome Adams is ""struggling"" since working for Trump as Surgeon General.
What did he expect would happen when he lied to an…"	737417748272189440			['23554832']	1.5961628650979533e+18	
1596542995389906944	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	706720321592696834			['337808606']	1.596242318792614e+18	
1596542995603501056	RT @LTrangAnh14: Now, I can spend and shop comfortably even though the corona pandemic made life difficult for my friends. I introduced cry…	973234929600376832			['1471041198462668804']	1.5945168282521723e+18	
1596542995649945600	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	133556577			['3406938525']	1.5965374492489564e+18	
1596542995787960321	RT @jenniferzeng97: This is in #Tianjin city #CCPChina, people also start to fight back against the #CCP’s #covid #lockdown. https://t.co/Y…	1588677624192126976			['2313027666']	1.5964890026260275e+18	
1596542995977076737	RT @roller2426: Covid or Flu.. ahhh.. doesn't matter. https://t.co/b449l58kvw	1619020944			['1547146050859053056']	1.596375035736109e+18	
1596542996140658688	RT @Chesschick01: When was the exact moment you realized COVID was being used to manipulate the population?	864912266881138689			['36134346']	1.596216988145025e+18	
1596542997306691589	Total chaos. Too many people have already died in China because of the stupidity of the dictator. https://t.co/PmAKCGIwWM	1223322770991222784		1.5961181920441385e+18			
1596542998233219072	RT @_Janey_J: ‘In early 2020 after the lockdown, people were being admitted to hospital and dying in large numbers - I think they were bein…	785603734717894656			['1538833303863713796']	1.5964949489245512e+18	
1596542997877108736	"@AndersonAfDMdEP @JustinTrudeau @WHO @pfizer @AstraZeneca Canada’s lil incel is constantly spreading misinformation!
Not a single person in Canada was ‘forced’ to be vaccinated. Those that chose to, did so understanding risk CoVID infection posed, and trusting that medical science &amp; the process of clinical trials, efficacy &amp; safety https://t.co/YaTxQAbHaO"	104914298	9.00669223122473e+17		['900669223122472960', '14260960', '14499829', '56488059', '62465691']		1.5964901576074895e+18
1596542998657241089	"""Big pharma is down.  NEED HELP."" https://t.co/MwCsU1oLfB"	1594661624811487232		1.596160278554624e+18			
1596542998900531201	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1011451226611961857			['78523300']	1.5965153365722767e+18	
