tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	replied_to	retweeted
1596417117007400960	@ClownWorld_ Most countries have relaxed mask rules and made them voluntary, why are people still having a debate on them. Either wear it or don't.	32857833	1.4469321491483443e+18	['1446932149148344320']		1.596329093590442e+18	
1596417117103996928	"RT @MyGineration: We are apparently paying £770,000 per day to store unusable PPE.
WHY?
if it's unusable WHY ARE WE STORING IT????"	1139103257136193536		['41312616']			1.5960629175893524e+18
1596417117082902528	"RT @Roman_Baber: Don't blame Covid  for your or your loved ones':

- late diagnosis 
- surgery canceled 
- depression 
- child's regression…"	1386228374687813636		['3064984647']			1.5961271763231293e+18
1596417118240743427	RT @Jennyflower: I can't even begin to imagine what kind of person you could be to skim tens of millions off the Government during a pandem…	250011308		['19233522']			1.5960520176630497e+18
1596417118337085445	@DKthroughmyeyes @prima__facie The lack of will to do that in the US due to the weird politicization of pandemic approaches torched us. And killed so many.	795509171198263296	1.1870380106609418e+18	['1187038010660941824', '190336357']		1.596416364620546e+18	
1596417118597439488	RT @MartinMunchen79: Finally back home from work! And feeling fresh ✨️ 😌 😎 https://t.co/ABmWksk8ea	914477977710350336		['830440139138691072']			1.5954506740446003e+18
1596417118790098944	"RT @apsmunro: New study of adolescent vaccination for #COVID19 in England

Against Omicron, prev Omicron infection provided comparable prot…"	229075850		['1392483492']			1.596133907019477e+18
1596417119339433984	RT @garigalAnj: @AmeliaBee7 @OZloop Also Morrison/Hunt/Berejiklian diverted vaccines to Sydney because Hazzard stuffed up the Bondi outbrea…	433736413		['524939820', '3071275561', '87888260']			1.5962871821926646e+18
1596417118949756928	"BEST DAYS 😭♥️ 

#Pakistan #lockdown https://t.co/WkqkMhYrwc"	1591096734419193856					
1596417119872507904	@tangoix21 Hasn't herd immunity already helped us?	1250502642834591746	229336447.0	['229336447']		1.5962577444490772e+18	
1596417119897341954	"RT @KrugAlli: Amazing news!!!
@scottyd121 which lawyers do we high-five for this win? 

Fox News: Court rejects San Diego school district's…"	1426984280282984449		['1098119964723040256', '945208849']			1.5963586514550784e+18
1596417122150023168	RT @Its_CineHub: In Delhi-NCR #Drishyam2 is having 150+ fast filling shows on its second saturday which is nearly 4 times more than #Bhediy…	3193830518		['770259414133551104']			1.596409181636264e+18
1596417122225508352	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	18378090		['124461963']			1.5962593752319508e+18
1596417122078707718	One of the things I promised myself during the pandemic is finally checking out the non-nature entertainment that the Bay Area offers. Tonight, @sierra_goetz and I attended my first Broadway musical and @AintTooProud was a perfect choice ❤️ Long live @thetemptations! https://t.co/RLseBSHhS0	1335224156		['1517197316645527552', '933001557754503168', '29790544']	1.592932793323225e+18		
1596417122397483008	RT @washingtonpost: Deadly Xinjiang fire stokes discontent at China’s harsh covid restrictions https://t.co/QHVa3c1hWP	740903		['2467791']			1.5964123823472394e+18
1596417122363924481	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	716285291032653824		['611986351']			1.5961710505467617e+18
1596417122871103488	RT @ChristinaPushaw: It’s not a “strategy,” you authoritarian creeps… it is a gross violation of human rights on a massive scale. None of t…	3307375318		['31667539']			1.596326526794236e+18
1596417123139608577	RT @Storm4Congress: You don’t get to use “the science was evolving” as an excuse for poor response to Covid when the rest of us were right…	1519594578860519424		['1272559122022629376']			1.5963791992203878e+18
1596417123726766080	"RT @DrAseemMalhotra: Launch a Public Inquiry into the approval process for covid-19 vaccines

We want the Government to launch a Public Inq…"	1276495719503970304		['472777204']			1.5961530268884787e+18
1596417124242804737	RT @CRobertsonUK: Its took a year plus to report on an alleged fraud, by a Scottish neonoble unionist.	1168655559933009921		['783676030078836736']			1.5960495383428465e+18
1596417124347842560	RT @toujeongsbelle: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retu…	967665039220985857		['2325353209']			1.596407491126268e+18
1596417124196548609	Covid jabs for those aged 18 and over are available today (Sat) at Villapharm #CapelStMary from 10am to 4pm. No appt needed 💉💉 https://t.co/k0ldhAYfkG	1415662428					
1596417125388005377	congrats boys @pledis_17 🥹😭 after nakawin sainyo to ng pandemic, finallyyy!!! ENJOY LOVESSS https://t.co/OMcEaNE7CH	275498613		['956888370']	1.5964157435158323e+18		
1596417125559963648	It took almost three years, but COVID made it into my household yesterday. Meh. And guess who has work travel to London planned on Tuesday. 😬	120242706					
1596417125501259778	RT @akheriaty: You can only push people so far, even with total power. Everyone has their limits. Every tyranny contains the seeds of its o…	30204009		['54322957']			1.5963278655695299e+18
1596417128433070081	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	4668096739		['731900980862705664']			1.5964106757602222e+18
1596417128714113024	@HayshamTaz @Spanglish51 Not exactly. He may be responsible for the response to a global pandemic that was responsible for thousands of deaths, but he didn't set the covid virus loose into the world did he?	20332007	1.2030638692849828e+18	['1203063869284982785', '53036075']		1.5962363902908252e+18	
1596417128936374272	"RT @hugh_mankind: Dr. Mike Yeadon: “I Didn’t Do My Homework” — “I’m Ashamed That I Was Pro-Vaccine” 

“I certainly, when I was in [the phar…"	1425706281004781570		['256057148']			1.596168161136898e+18
1596417129120555008	India reports 389 Covid-19 cases and three deaths in the last 24 hours | India News https://t.co/3oaYAcft44	33081747					
1596417130152439808	RT @Oi94_: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return flight…	915532395532632065		['1397313373']			1.5964065779297935e+18
1596417131117219841	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	3065309987		['28197128']			1.5962430017347502e+18
1596417131717234689	@Cerekson3 @cryptobuddydude @LayahHeilpern See I never think about the vaccine. I have real shit to worry about.	1078162507972235264	9.333341566117478e+17	['933334156611747840', '1536857646204080128', '455937214']		1.5964049422267515e+18	
1596417132262494208	RT @AngelaRayner: The revelations about Tory peer Michelle Mone highlight a wider scandal - the illegal 'VIP Lane' and a £9bn write-off of…	297633650		['222748037']			1.5958168438429164e+18
1596417133352669184	u can tidy your hair and wash your hands, and by that tim     https://t.co/aR844IwPph	1525268734608388099					
1596417133575118848	@hodgetwins What’s honestly going to happen to all the people who took the vaccine 💉 bc I know all the people who took it and nothing happened to them. I’m anti vax.	841539699088973824	18584875.0	['18584875']		1.596327206598611e+18	
1596417134191869952	RT @thevivafrei: Go to hell, Pete.	781185733788860416		['96906231']			1.5962907409041572e+18
1596417134724534273	RT @mr_mcehnus: @TrueNorthCentre if you are so scared of the citizens of your own country that you have to invoke the emergency act because…	1104060229245792258		['1498178689397231616', '3664109892']			1.5963580634178765e+18
1596417134644559874	RT @Gunabalance: @LoriHOLDTHELINE @MarcGarneau ...it happens any time they see their agenda going sideways... they first claim “CoVid”, the…	32300682		['4188580655', '3082876385', '80702644']			1.5834846152677417e+18
1596417134896156673	RT @Ore_akiinde: It’s so insane how everyone has adjusted to this pandemic of kidnappings currently happening in Nigeria, every new day, so…	848654314247684102		['729374311878922240']			1.5963776213775196e+18
1596417134854557697	"RT @badiucao: Thread/1

Massive protest happened in Ulumuqi，Xinjiang，China after more than 100 days zero-covid city lockdown.

People are c…"	949773080		['267695291']			1.5962472807129825e+18
1596417135827619842	"RT @BladeoftheS: PPE Medpro was worth £100 when it was given a £200,000,000 contract to purchase PPE.

Nothing at all dodgy about that."	1553446821887885313		['1455903807389458436']			1.5962324577617265e+18
