tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596512404917178377	"RT @DaveAtherton20: Whitty @CMO_England we were promised that the Covid vaccine was ""100% effective,"" a blatant lie.

Before I get my flu j…"	1060837449147076609			['112684779', '1178622443814084608']	1.5965091877643756e+18	
1596512405302960129	RT @_Janey_J: ‘In early 2020 after the lockdown, people were being admitted to hospital and dying in large numbers - I think they were bein…	1457416935386267648			['1538833303863713796']	1.5964949489245512e+18	
1596512405236088832	@kellytheduchess @notcapnamerica I have always wanted to go there to stay.  I almost did right before covid and now the prices have doubled in the last 2 years.	151669709	469816685.0	1.596372873634906e+18	['469816685', '33913156']		
1596512405752025090	RT @KimsSis: .@BylineTimes trying to open people's eyes 2 years ago.	279176310			['242749869', '1035418272764715008']	1.596485924086481e+18	
1596512405902618629	"RT @IamBrookJackson: Dr. Malone: Ron Johnson’s COVID-19 Hearings Will Decimate COVID-19 Lies And Manipulation 
https://t.co/1EVlhQUDm9 http…"	2374469136			['1439405246518906881']	1.596387504554668e+18	
1596512406985134082	Because I have a heart condition and I cannot afford to have blood clots I've had covid a couple of times survived I think I'll be just fine!!! https://t.co/R9vH3OrLUd	1508346201615253507					1.5961360820680827e+18
1596512407190388737	@StevenLost33 @iamjeffrich @TRHLofficial @elonmusk @getpaidwrite Covid didn’t kill millions of people. Gotcha! https://t.co/jfGBzNaKq2	158601910	1.3526972801686487e+18	1.5965018897636762e+18	['1352697280168648708', '1500837356580098050', '37190937', '44196397', '1260970741174095873']		
1596512408150847491	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	14509010			['337808606']	1.596242318792614e+18	
1596512408105021441	RT @BookerSparticus: Fauci was deposed. He couldn't remember much, but emails confirm he and others knew the Wuhan Lab was the origin. Let'…	1585283153475866625			['1046102582643642373']	1.596491302472147e+18	
1596512408406728707	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	3101980190			['19638752']	1.596239466779226e+18	
1596512409023549441	@dsdianern @atensnut You mean the vaccine that came out in Jan 2021? Before that, we were all unvaccinated...	1470058667961585665	148176729.0	1.5962716938733568e+18	['148176729', '22677397']		
1596512410176655361	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	23513021			['19638752']	1.596239466779226e+18	
1596512411217006600	RT @MannieQuinn1: Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must kick her out of Parliamen…	1573327396958248960			['1542835694737006592']	1.5965080623740723e+18	
1596512411238158338	"RT @farm_tj: @MrReaganUSA @LayahHeilpern When you have to change the definition in order to call it a vaccine—that is pretty sketchy. 

Not…"	1497756154264436737			['45482838', '1006016181721919488', '455937214']	1.5962414208342835e+18	
1596512411816714243	"RT @TPostMillennial: Tucker Carlson SLAMS Biden for failing to address the rising cost of energy in America:

""High energy prices will crus…"	562372370			['896731633704947712']	1.5963145993638625e+18	
1596512412987002883	RT @ScottAdamsSays: Unlike American oil that causes climate change, this Venezuelan oil is green as can be. Some say it cures Covid when ru…	481474751			['2853461537']	1.5961514703025848e+18	
1596512413184139264	RT @NeoliberalSnow: Can't bring myself to do the character. How dare you refer to people who are immunocompromised and the hundreds dying e…	19755615			['1480266661768966148']	1.595556704439214e+18	
1596512414123495425	RT @LynAldenContact: Taiwan used a zero-Covid strategy for a while, but back in spring of this year after the Omicron wave, they pivoted th…	1353424986950627330			['823766058909761536']	1.5964752087012147e+18	
1596512414068899840	RT @MacroAlf: If food and house prices drop by 15% next year, they will still be way above pre-pandemic levels and have outpaced wage growt…	1273735432782729220			['1344759366671589376']	1.5964969777764884e+18	
1596512414241005569	Canadian Government Pushes Psychiatric Medication for 'Vaccine-Hesitant' https://t.co/3bNrSgdbjP	945753768322326529					
1596512414597464065	RT @nbehm: LMAO—a ‘must read’ regarding full face plant of the booster — evidence/data shows it’s a nothing burger , but ‘experts BELIEVE i…	21816289			['260785946']	1.5965110383414067e+18	
1596512415016886272	South Carolina tells the news they are banning the use of masks after their Coronavirus numbers stayed under 100,000 for the week.	1306693769585098753					
1596512415067574272	"@AP: Campaigns had resolutely focused on the local: air pollution in Taichung, traffic snarls in Nangang, and the vaccine purchasing strategies.

The defeat for DPP may be partly due to how it handled the pandemic."	1946429563	1946429563.0	1.5965110727434936e+18	['51241574']		
1596512416770449408	RT @BipedalMyles: @WilliamWiltrou1 @WesleyBelvedere @jakeshieldsajj If you made it through you're most likely fine (Malone said this too) t…	1589644650603839489			['1416472998157160450', '432911022', '1595575225516802049', '80233893']	1.5964027897351004e+18	
1596512417152118789	RT @Lear5Learning: #justiceforfmge We register protest &amp; discontent happening against  FMGs (Foreign Medical Graduates) by @NMC_IND &amp; rule…	1558632726902611968			['1563934532662808578', '1315714001268080640']	1.5956805222434816e+18	
1596512417491877889	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	3803277136			['914588454']	1.5962501084331459e+18	
1596512417336680451	"@KlBeverly @gregggonsalves @AshishKJha46 @Walgreens If the ER is your only choice, we are 100% here for you.
But it's still a long wait these days, rough on the patients. Not an optimal strategy, represents a barrier to COVID treatment.
As @gregggonsalves , it puts the onus on the individual, not the system/govt."	749525383	1407864956.0	1.5963443529008128e+18	['1407864956', '30844417', '1511811717227073541', '46177695', '30844417']		
1596512418154283009	RT @MillyMia8: @HackedOffHugh Hey @HackedOffHugh seems we had stock already, too….imagine how many NHS staff &amp; patients it may have saved h…	719182299183595520			['1591133707', '914588454', '914588454']	1.5962713678210908e+18	
1596512418259439616	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	1017185427126652928			['95092020']	1.5964838459933778e+18	
1596512418745962496	RT @DrJohnB2: New-onset bullous pemphigoid  (an autoimmune subepidermal  blistering  disease) following the second dose of the Pfizer-BioNT…	1250872503624282112			['1400013985202704385']	1.5965096288081715e+18	
1596512418771144705	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	1439572461515939840			['341190477']	1.596239080152408e+18	
1596512419131674628	RT @Xx17965797N: Study Finds Number of Athletes Who Have ‘Died Suddenly’ Has Increased by 1700% Since COVID Vaccination Began. Full List of…	1519885634030166017			['1552407495255199745']	1.595841581701124e+18	
1596512419177631749	RT @JimBovard: Covid Czar Tony Fauci suffered severe memory lapses during his deposition this week. But Americans must never forget how Fau…	27873065			['319110601']	1.5963007354189578e+18	
1596512419299434498	Pandemic … could be back lol	199089130					
1596512420281081859	"I Don't Care What Bathroom You Use,, but for the Love of GERMS... 
WASH YOUR HANDS!!!!!  #whateverdude #Washyourhands"	1541448704078610432					
1596512420314636288	"Disagree.. If China or Iran claimed trucks used in protest were ""violations"", but the protest was AGAINST what the media believes/wants, crickets. China still has major lockdown, barely a peep from MSM. They are a disgusting joke! https://t.co/5msyHVrYGS"	1323720968339132418					1.59651059968469e+18
1596512420498849792	RT @pills_truth: Go to the National Institute of Health (NIH) search bar and type in: The truth about covid-19… https://t.co/RosWPbQYdP	982506360347725824			['1523416460235841537']	1.59645509146837e+18	
1596512420910215168	RT @JolyonMaugham: The UK's biggest ever fraud inquiry should be into the £50bn spent on pandemic procurement, much of it on VIPs.	558615340			['406842374']	1.5958771139699057e+18	
1596512422742745088	"RT @JanJekielek: ""There's a big spike in vaccination in April. And there's a big spike in deaths in September.""
 
Steve Kirsch argues there…"	240367875			['15719232']	1.595893348035752e+18	
1596512423170560002	@erinamunson @POTUS Biased mf forgets there was a pandemic and now a war.	700757802608939009	271315071.0	1.5962793048112538e+18	['271315071', '1349149096909668363']		
1596512424051748866	"RT @premnsikka: UK Govt wants to recoup money from Michelle Mone-linked firm after PPE rejected as unusable.
PPE Medpro says it was OK; won…"	191833576			['2461924214']	1.5965120071631135e+18	
1596512423799885824	RT @FearDept: The pandemic exposed our grassroots supporters as morons.	107354278			['141834186']	1.587839177634517e+18	
1596512425234206722	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1258665914490163204			['1552407495255199745']	1.5964351920208773e+18	
1596512425440063488	RT @joaquinlife: On this thanksgiving, please thank “the pandemic is over” @POTUS along with @WHCOS @CDCDirector @XavierBecerra @AshishKJha…	1328374743288918016			['39015033', '1349149096909668363', '1351284403801108481', '426909329', '565469671']	1.5959140776912118e+18	
1596512425829961729	@HighPanda98 @KailLowry Vaccines protect from rsv? 🤔	1125190079423578112	1.3745279608294687e+18	1.5965022571130143e+18	['1374527960829468683', '216348190']		
1596512425741717504	RT @ncksprg: has anyone else noticed at concerts post covid a huuuuge uptick in people making signs asking for picks, drumsticks, and setli…	1143054090315845633			['863935127147208704']	1.5958623025401446e+18	
1596512425851129856	@CarlaWomack14 @RonnyJacksonTX He is a great Scientist, but he lied too many times during the Pandemic, masks and the jab.  I don't trust him anymore	60894609	1.527135662046163e+18	1.595394689816875e+18	['1527135662046162945', '1201953403099893760']		
1596512426304081921	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	450094585			['1552407495255199745']	1.5964351920208773e+18	
1596512427318779904	"RT @drclairetaylor: 22/ Covid is not a respiratory disorder, it is a disease of the blood vessels. 
We have 60,000 miles of blood vessels i…"	903300582672396288			['1513942742715584520']	1.595244408102097e+18	
1596512427684032512	"RT @Texas_Made956: 100 mil Chinese now in ""Quarantine camps""
US models Coming soon
For your saftey🥴 https://t.co/udTKpBvJKx"	1429412941166780429			['1444879139371094020']	1.5963464154956431e+18	
1596512427935268864	RT @JonathanTurley: ...If China or Iran claimed that any trucks in a protest would justify mass crackdowns, the media would be outraged. Ho…	898463117495083010			['94784682']	1.59651059968469e+18	
1596512428010921984	"RT @EricTopol: Just published @ScienceMagazine 
A universal influenza mRNA vaccine effective against all 20 lineages of influenza A and B,…"	906298628			['86626845', '32372834']	1.5958560205844234e+18	
1596512428438695938	"RT @TOPublicHealth: NEW: We've added 15k+ #COVID19 vaccine appts for residents 6 months+: https://t.co/y3cF6wqaf7

We've also added 12k+ #f…"	62311579			['22562961']	1.5965116337567867e+18	
1596512428535123968	Trudeau, supported by US via Biden, in his attack on freedom https://t.co/4Fe3Z5IIi8	16650973					1.59651059968469e+18
1596512429298810880	@Sethmr1989 @DuntonRosalind @TRyanGregory Anecdotal evidence from you means squat.   Covid is a real threat.  No one cares what you THINK.	2271262956	458006740.0	1.596169316806062e+18	['458006740', '1265005283883069440', '151257881']		
1596512430263537669	RT @ChrisWNunn: The vaccine mandates should have never been implemented. Period.	14836154			['1559343667944587271']	1.595551469272531e+18	
1596512431253377024	"I'm struggling with this issue so I thought I'd run a poll. Who is greediest? 

Group A: rail and post workers, teachers and nurses

Group B: Michelle Mone and the other Tory VIP fast channel Covid millionaires

Please retweet to maximise sample size as this is finely balanced."	2831591					
1596512431626649600	"@paulbentley585 @hullkevinr @RepMTG Trump was impeached. Twice. For real. Only president ever to achieve that. You must be proud.

Are you referring to the COVID restrictions that week in effect in springtime 2020? Do you know who was president then?"	823014956178161664	1.5205377431971922e+18	1.596510662687359e+18	['1520537743197192197', '1033642358', '1344356576786866176']		
1596512432138199042	RT @hodgetwins: Covid and the vaccine push showed us that the corruption is off the charts.	959448693366812672			['18584875']	1.5963183104417915e+18	
1596512432259846144	The only thing crazier than promoting vaccines as a health and immune response enhancement is promoting marijuana for health and wellness.	1513887049065054229					
1596512432213876739	"I spoke at this Pfizer rally a year ago.

Nick Fuentes crashed it with no permission to be involved. 

Fuentes is BAD NEWS and @kanyewest should stay away from him.

@nyfreedomrally @progressiveact @bravest4choice @KyrieIrving @MaxBlumenthal @LeftVLockdown https://t.co/iDAKx0JGGE"	1304222424167329804			['169686021', '1414689263308972034', '722143460082495489', '1455220818699505671', '317370751', '53789862', '1423744974047285254']		1.4599934444122767e+18
1596512433236869120	Time to deal with bum deals. https://t.co/p0QfZYA6kG	1303409952057438209					1.5964331728829317e+18
1596512433266655233	@EricMMatheny So said the moron…err… 💩 @potus 💩 that “supposedly” got every booster, still got Covid…while people died after vaccination, lives were ruined, folks lost jobs, Biden wealth increased. Was about control of the people and destroying America which Biden hates… 🤔	1243265697171398656	2730264319.0	1.596494930171818e+18	['2730264319', '1349149096909668363']		
1596512433186787332	RT @MontWildlife: It's nearly time! Head on down to our #Welshpool shop today, between 2 &amp; 6pm. It's the first time we've opened since the…	903993725256388608			['1072159544']	1.596475606207791e+18	
1596512433597825024	RT @BBolander: walgreens vaccine webpage giving me fucking riddles when all i want is a booster https://t.co/TqP6Caqqkh	713531171791974400			['84966500']	1.5962159150788977e+18	
1596512434436669442	Great thread on Covid https://t.co/tFtNOq7JUn	5371562					1.5962137948414525e+18
1596512434847727624	@Chesschick01 Feb 2019, Laying in the hospital from a virus that no one knew what it was watching Nancy and Chuck on TV promoting everyone to go out and mingle, celebrate the Chinese New Year, it's Un-American not to socialize!	4709620157	36134346.0	1.596216988145025e+18	['36134346']		
1596512435615059969	"RT @DawitDigital: @POEthiopia Imagine the victims of brutally raped in Tigray by Amhara 🇪🇷 🇪🇹 forces.
""Tigrayan womb should never give birt…"	1493855872057069571			['1483875795043037192', '1137986874230870019']	1.5964109498332324e+18	
1596512436001144839	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	1355166823306702848			['124461963']	1.5962593752319508e+18	
1596512435917455360	@LayahHeilpern But mainly I had been infected and recovered and there was no reason to take what was billed by charlatans as a vaccine at that point.  Even if they hadn't been fully fabricating their narrative.	1518755804534362113	1.518755804534362e+18	1.5965120149435228e+18	['455937214']		
1596512436156502018	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	796873997338152960			['1552407495255199745']	1.5964351920208773e+18	
1596512436517220355	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1311567881646338048			['1552407495255199745']	1.5964351920208773e+18	
1596512436646993926	"RT @ProudElephantUS: Joe Biden: “You’re not gonna get Covid if you have these vaccinations.” 🤦🏻‍♂️

https://t.co/X8jkalFQeR"	25065023			['810055220']	1.5962512553320817e+18	
1596512437360001025	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	1958963869			['1089917743275667457']	1.5962860168426988e+18	
1596512437649682432	"@tryna_do_rite @Girl2Poco @ColetteMandin Really, you're still going on about that? Take your head out of the sand. 
Masks don't stop anything! And vaccines don't prevent catching or transmitting it or even protect against fuck all! It's a load of shit!"	222048249	1.1951858136061256e+18	1.596272270988968e+18	['1195185813606125570', '1466855809510301700', '636649732']		
1596512438228520962	RT @Reuters: Huge COVID protests erupt in China's Xinjiang after deadly fire https://t.co/rHJeHgC31D https://t.co/je8LVUyJqz	1585860030037123072			['1652541']	1.5964122283114168e+18	
1596512438610169858	"RT @IamBrookJackson: Dr. Malone: Ron Johnson’s COVID-19 Hearings Will Decimate COVID-19 Lies And Manipulation 
https://t.co/1EVlhQUDm9"	1172345379125260288			['1439405246518906881']	1.596387504554668e+18	
