tweet_id	text	author_id	in_reply_to_user_id	replied_to	retweeted	mentions	quoted
1596551148605169665	"@LostTogetherCda @toddodddd @EricEdmeades ""High aspirin dosing levels used to treat patients during the 1918-1919 pandemic are now known to cause, in some cases, toxicity, a dangerous build up of fluid in the lungs, which may have contributed to the incidence and severity of symptoms, bacterial infections, and mortality"""	1580871588773257217	8.165257245887242e+17	1.596531883453862e+18		['816525724588724224', '1534595320440561670', '11792362']	
1596551147866595330	"Pre-ga❌e shots (flu shots!) #GoBucks

with a doggy bag of covid tests, free through insurance

reminder that you can read my story on why we don't have at-home flu tests here: https://t.co/xUDScPrkTd

and hear me talk about it on @WBUR's @hereandnow here: https://t.co/9lcwIflaQG https://t.co/rEXV7YMPH2"	4865361977				['2996801', '94391895']	
1596551149452201985	RT @akheriaty: 6/ Lockdowns quickly spread from China to the West, as a troubling number of Western apologists besides the WHO also looked…	1586053559652700160			1.5959016345505833e+18	['54322957']	
1596551149502746624	RT @clairebubblepop: When they say there’s no money for our NHS… never forget they found £37 billion for Dido Harding who’s husband wants t…	1487511672038244356			1.5935890455437967e+18	['1386964028237492226']	
1596551150114775045	"@RubyBillings7 @CarolAnnHarden2 @ColetteMandin How do you explain the over doubling of covid numbers this year compared to last year when we had a mask mandate then.

Car rules are for public safety, like bike helps, like vaccines for students in schools. Same with masks for covid. N95s work."	1553207111458426880	1.5213368782045553e+18	1.5965497788838994e+18		['1521336878204555264', '1532089575727779840', '636649732']	
1596551151188869120	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1591145508650815494			1.5965153365722767e+18	['78523300']	
1596551151205376000	"RT @WhiteHouse: We all have to do our part to ensure a safe, healthy, and happy holiday season.

Get the updated COVID vaccine: https://t.c…"	1084979028191252480			1.596232279562625e+18	['1323730225067339784']	
1596551151473905666	RT @_Janey_J: ‘In early 2020 after the lockdown, people were being admitted to hospital and dying in large numbers - I think they were bein…	2797839417			1.5964949489245512e+18	['1538833303863713796']	
1596551151855476736	"RT @premnsikka: Nurses worked during the lockdown.
Starter pay is £27,000. Many rely on food banks.
40,000 nurses left the NHS this year.
N…"	1273294680206213122			1.5964634506410312e+18	['2461924214']	
1596551152552005632	RT @hedleyrees: Nowhere near enogh signatures here - it's hard to believe these make any difference, given Government whitewashes, but must…	1451770828928995332			1.5965127377601864e+18	['16039269']	
