a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
-999.0,6158.94803144328,10241.94803144328,4083,1,50,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,5637.2985698594075,9720.298569859408,4083,1,50,sbm_50,10000,Turing
-999.0,5225.4053061224495,9308.40530612245,4083,1,50,sbm_50,10000,Jackknife k = 2
-999.0,3029.1800000000003,7112.18,4083,1,50,sbm_50,10000,Jackknife k = 1
-999.0,5639.854762211213,9722.854762211213,4083,1,50,sbm_50,10000,Chao Lee Jeng 2
-999.0,22029.9,22501.9,472,1,5,sbm_50,10000,Morgan Ridout
-999.0,12783.4,13750.4,967,1,10,sbm_50,10000,Morgan Ridout
-999.0,9771.8,11279.8,1508,1,15,sbm_50,10000,Morgan Ridout
-999.0,8825.5,10877.5,2052,1,20,sbm_50,10000,Morgan Ridout
-999.0,8272.9,10706.9,2434,1,25,sbm_50,10000,Morgan Ridout
-999.0,7874.0,10715.0,2841,1,30,sbm_50,10000,Morgan Ridout
-999.0,7469.4,10655.4,3186,1,35,sbm_50,10000,Morgan Ridout
-999.0,6532.700000000001,10015.7,3483,1,40,sbm_50,10000,Morgan Ridout
-999.0,6535.299999999999,10339.3,3804,1,45,sbm_50,10000,Morgan Ridout
-999.0,5841.700000000001,9924.7,4083,1,50,sbm_50,10000,Morgan Ridout
1000.0,28348.850098804454,28980.850098804454,632,10,5,sbm_50,10000,Pseudolikelihood
-999.0,27901.785714285714,28533.785714285714,632,10,5,sbm_50,10000,Chao
-999.0,56742.82137489691,57374.82137489691,632,10,5,sbm_50,10000,Turing Geometric
-999.0,22419.714285714286,23051.714285714286,632,10,5,sbm_50,10000,Schnabel
-999.0,27899.465437753435,28531.465437753435,632,10,5,sbm_50,10000,Zelterman
-999.0,22445.02857142861,23077.02857142861,632,10,5,sbm_50,10000,Chao Lee Jeng 1
-999.0,29917.924930914716,30549.924930914716,632,10,5,sbm_50,10000,Chao Lee Jeng 0
-999.0,1241.25,1873.25,632,10,5,sbm_50,10000,Jackknife k = 4
-999.0,1118.35,1750.35,632,10,5,sbm_50,10000,Jackknife k = 3
-999.0,1241.25,1873.25,632,10,5,sbm_50,10000,Jackknife k = 5
-999.0,-1631,-999,632,10,5,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,22508.753581894893,23140.753581894893,632,10,5,sbm_50,10000,Turing
-999.0,871.8499999999999,1503.85,632,10,5,sbm_50,10000,Jackknife k = 2
-999.0,500.0,1132.0,632,10,5,sbm_50,10000,Jackknife k = 1
-999.0,22445.02857142861,23077.02857142861,632,10,5,sbm_50,10000,Chao Lee Jeng 2
1000.0,9774.535188739279,10737.535188739279,963,10,10,sbm_50,10000,Pseudolikelihood
-999.0,9576.40909090909,10539.40909090909,963,10,10,sbm_50,10000,Chao
-999.0,19899.443238716012,20862.443238716012,963,10,10,sbm_50,10000,Turing Geometric
-999.0,8657.304347826086,9620.304347826086,963,10,10,sbm_50,10000,Schnabel
-999.0,9572.032541620398,10535.032541620398,963,10,10,sbm_50,10000,Zelterman
-999.0,8678.930830020445,9641.930830020445,963,10,10,sbm_50,10000,Chao Lee Jeng 1
-999.0,9845.191026259861,10808.191026259861,963,10,10,sbm_50,10000,Chao Lee Jeng 0
-999.0,2611.3125,3574.3125,963,10,10,sbm_50,10000,Jackknife k = 4
-999.0,2121.0541666666663,3084.0541666666663,963,10,10,sbm_50,10000,Jackknife k = 3
-999.0,3008.2638888888887,3971.2638888888887,963,10,10,sbm_50,10000,Jackknife k = 5
-999.0,5348.646422935883,6311.646422935883,963,10,10,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,8696.644160194526,9659.644160194526,963,10,10,sbm_50,10000,Turing
-999.0,1529.3111111111111,2492.311111111111,963,10,10,sbm_50,10000,Jackknife k = 2
-999.0,826.2,1789.2,963,10,10,sbm_50,10000,Jackknife k = 1
-999.0,8686.996813329548,9649.996813329548,963,10,10,sbm_50,10000,Chao Lee Jeng 2
9.815332651885445,7653.549440512575,9037.549440512576,1384,10,15,sbm_50,10000,Pseudolikelihood
-999.0,6853.9698275862065,8237.969827586207,1384,10,15,sbm_50,10000,Chao
-999.0,14402.196218437857,15786.196218437857,1384,10,15,sbm_50,10000,Turing Geometric
-999.0,6391.412213740458,7775.412213740458,1384,10,15,sbm_50,10000,Schnabel
-999.0,6851.724418493237,8235.724418493237,1384,10,15,sbm_50,10000,Zelterman
-999.0,6368.37594772389,7752.37594772389,1384,10,15,sbm_50,10000,Chao Lee Jeng 1
-999.0,6928.1459236757455,8312.145923675746,1384,10,15,sbm_50,10000,Chao Lee Jeng 0
-999.0,3738.4724969474973,5122.472496947497,1384,10,15,sbm_50,10000,Jackknife k = 4
-999.0,3023.331135531136,4407.331135531136,1384,10,15,sbm_50,10000,Jackknife k = 3
-999.0,4339.605280830281,5723.605280830281,1384,10,15,sbm_50,10000,Jackknife k = 5
-999.0,8422.98374949517,9806.98374949517,1384,10,15,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,6369.682502457715,7753.682502457715,1384,10,15,sbm_50,10000,Turing
-999.0,2176.4476190476194,3560.4476190476194,1384,10,15,sbm_50,10000,Jackknife k = 2
-999.0,1176.9333333333334,2560.9333333333334,1384,10,15,sbm_50,10000,Jackknife k = 1
-999.0,6374.268896659726,7758.268896659726,1384,10,15,sbm_50,10000,Chao Lee Jeng 2
1000.0,8077.679665657712,10010.679665657712,1933,10,20,sbm_50,10000,Pseudolikelihood
-999.0,7885.160526315791,9818.16052631579,1933,10,20,sbm_50,10000,Chao
-999.0,16962.47066639506,18895.47066639506,1933,10,20,sbm_50,10000,Turing Geometric
-999.0,7518.920930232558,9451.920930232558,1933,10,20,sbm_50,10000,Schnabel
-999.0,7874.157339909809,9807.157339909809,1933,10,20,sbm_50,10000,Zelterman
-999.0,7568.337158404822,9501.337158404822,1933,10,20,sbm_50,10000,Chao Lee Jeng 1
-999.0,8044.818022825204,9977.818022825204,1933,10,20,sbm_50,10000,Chao Lee Jeng 0
-999.0,5219.359640522876,7152.359640522876,1933,10,20,sbm_50,10000,Jackknife k = 4
-999.0,4222.101023391813,6155.101023391813,1933,10,20,sbm_50,10000,Jackknife k = 3
-999.0,6057.762891296869,7990.762891296869,1933,10,20,sbm_50,10000,Jackknife k = 5
-999.0,6404.308088797339,8337.30808879734,1933,10,20,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,7578.071625808003,9511.071625808003,1933,10,20,sbm_50,10000,Turing
-999.0,3040.3500000000004,4973.35,1933,10,20,sbm_50,10000,Jackknife k = 2
-999.0,1644.4499999999998,3577.45,1933,10,20,sbm_50,10000,Jackknife k = 1
-999.0,7572.538805094489,9505.53880509449,1933,10,20,sbm_50,10000,Chao Lee Jeng 2
1000.0,7837.078883608502,10225.078883608501,2388,10,25,sbm_50,10000,Pseudolikelihood
-999.0,7563.636363636364,9951.636363636364,2388,10,25,sbm_50,10000,Chao
-999.0,16636.04304214914,19024.04304214914,2388,10,25,sbm_50,10000,Turing Geometric
-999.0,7366.466867469879,9754.466867469879,2388,10,25,sbm_50,10000,Schnabel
-999.0,7544.292511298316,9932.292511298316,2388,10,25,sbm_50,10000,Zelterman
-999.0,7396.624654782823,9784.624654782823,2388,10,25,sbm_50,10000,Chao Lee Jeng 1
-999.0,7768.319058380383,10156.319058380383,2388,10,25,sbm_50,10000,Chao Lee Jeng 0
-999.0,6159.647094861659,8547.647094861659,2388,10,25,sbm_50,10000,Jackknife k = 4
-999.0,5032.175217391304,7420.175217391304,2388,10,25,sbm_50,10000,Jackknife k = 3
-999.0,7075.962114624508,9463.962114624508,2388,10,25,sbm_50,10000,Jackknife k = 5
-999.0,5780.631236221256,8168.631236221256,2388,10,25,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,7407.148862839254,9795.148862839254,2388,10,25,sbm_50,10000,Turing
-999.0,3658.243333333333,6046.243333333333,2388,10,25,sbm_50,10000,Jackknife k = 2
-999.0,1996.8000000000002,4384.8,2388,10,25,sbm_50,10000,Jackknife k = 1
-999.0,7399.8299610172635,9787.829961017263,2388,10,25,sbm_50,10000,Chao Lee Jeng 2
1000.0,7443.998657507535,10264.998657507535,2821,10,30,sbm_50,10000,Pseudolikelihood
-999.0,7292.255754475704,10113.255754475704,2821,10,30,sbm_50,10000,Chao
-999.0,16086.139836238952,18907.139836238952,2821,10,30,sbm_50,10000,Turing Geometric
-999.0,7048.171548117154,9869.171548117154,2821,10,30,sbm_50,10000,Schnabel
-999.0,7280.857169610341,10101.85716961034,2821,10,30,sbm_50,10000,Zelterman
