a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
-999.0,2777.947091409017,3580.947091409017,803,1,30,ba_25,10000,Jackknife k = 5
-999.0,3832.6257199204983,4635.625719920498,803,1,30,ba_25,10000,Conway-Maxwell-Poisson
-999.0,3745.259607843528,4548.259607843528,803,1,30,ba_25,10000,Turing
-999.0,1328.522988505747,2131.522988505747,803,1,30,ba_25,10000,Jackknife k = 2
-999.0,706.6333333333332,1509.6333333333332,803,1,30,ba_25,10000,Jackknife k = 1
-999.0,3780.3678014313264,4583.367801431326,803,1,30,ba_25,10000,Chao Lee Jeng 2
0.5876189059608049,12107.682915493308,13028.682915493308,921,1,35,ba_25,10000,Pseudolikelihood
-999.0,4433.981012658228,5354.981012658228,921,1,35,ba_25,10000,Chao
-999.0,9051.35653095108,9972.35653095108,921,1,35,ba_25,10000,Turing Geometric
-999.0,3855.3999999999996,4776.4,921,1,35,ba_25,10000,Schnabel
-999.0,4432.9478098644895,5353.9478098644895,921,1,35,ba_25,10000,Zelterman
-999.0,4336.794693769278,5257.794693769278,921,1,35,ba_25,10000,Chao Lee Jeng 1
-999.0,4532.673173458895,5453.673173458895,921,1,35,ba_25,10000,Chao Lee Jeng 0
-999.0,2706.545835720652,3627.545835720652,921,1,35,ba_25,10000,Jackknife k = 4
-999.0,2158.80415075121,3079.80415075121,921,1,35,ba_25,10000,Jackknife k = 3
-999.0,3179.758212350189,4100.758212350189,921,1,35,ba_25,10000,Jackknife k = 5
-999.0,22477.197597003185,23398.197597003185,921,1,35,ba_25,10000,Conway-Maxwell-Poisson
-999.0,4171.234624651415,5092.234624651415,921,1,35,ba_25,10000,Turing
-999.0,1529.9621848739494,2450.9621848739494,921,1,35,ba_25,10000,Jackknife k = 2
-999.0,813.0857142857144,1734.0857142857144,921,1,35,ba_25,10000,Jackknife k = 1
-999.0,4337.22091331296,5258.22091331296,921,1,35,ba_25,10000,Chao Lee Jeng 2
0.5460783417714671,13500.788985034607,14515.788985034607,1015,1,40,ba_25,10000,Pseudolikelihood
-999.0,4942.3488372093025,5957.3488372093025,1015,1,40,ba_25,10000,Chao
-999.0,9794.240056013281,10809.240056013281,1015,1,40,ba_25,10000,Turing Geometric
-999.0,4133.527777777777,5148.527777777777,1015,1,40,ba_25,10000,Schnabel
-999.0,4949.142051785519,5964.142051785519,1015,1,40,ba_25,10000,Zelterman
-999.0,4859.529252525009,5874.529252525009,1015,1,40,ba_25,10000,Chao Lee Jeng 1
-999.0,5064.355923285376,6079.355923285376,1015,1,40,ba_25,10000,Chao Lee Jeng 0
-999.0,3017.748987854251,4032.748987854251,1015,1,40,ba_25,10000,Jackknife k = 4
-999.0,2398.531983805668,3413.531983805668,1015,1,40,ba_25,10000,Jackknife k = 3
-999.0,3561.8257563611187,4576.825756361119,1015,1,40,ba_25,10000,Jackknife k = 5
-999.0,18555.45388823109,19570.45388823109,1015,1,40,ba_25,10000,Conway-Maxwell-Poisson
-999.0,4527.630001279168,5542.630001279168,1015,1,40,ba_25,10000,Turing
-999.0,1695.2448717948723,2710.2448717948723,1015,1,40,ba_25,10000,Jackknife k = 2
-999.0,898.9499999999998,1913.9499999999998,1015,1,40,ba_25,10000,Jackknife k = 1
-999.0,4860.245776193734,5875.245776193734,1015,1,40,ba_25,10000,Chao Lee Jeng 2
0.3625956658832081,19345.700164786078,20605.700164786078,1260,1,45,ba_25,10000,Pseudolikelihood
-999.0,5909.288990825688,7169.288990825688,1260,1,45,ba_25,10000,Chao
-999.0,10773.843631918386,12033.843631918386,1260,1,45,ba_25,10000,Turing Geometric
-999.0,4346.916666666667,5606.916666666667,1260,1,45,ba_25,10000,Schnabel
-999.0,5950.246754931579,7210.246754931579,1260,1,45,ba_25,10000,Zelterman
-999.0,6045.503761042346,7305.503761042346,1260,1,45,ba_25,10000,Chao Lee Jeng 1
-999.0,6304.083049298035,7564.083049298035,1260,1,45,ba_25,10000,Chao Lee Jeng 0
-999.0,3741.220460138483,5001.220460138483,1260,1,45,ba_25,10000,Jackknife k = 4
-999.0,2964.9200728212345,4224.9200728212345,1260,1,45,ba_25,10000,Jackknife k = 3
-999.0,4434.428823108049,5694.428823108049,1260,1,45,ba_25,10000,Jackknife k = 5
-999.0,27962.208018053112,29222.208018053112,1260,1,45,ba_25,10000,Conway-Maxwell-Poisson
-999.0,4963.270031913548,6223.270031913548,1260,1,45,ba_25,10000,Turing
-999.0,2092.54494949495,3352.54494949495,1260,1,45,ba_25,10000,Jackknife k = 2
-999.0,1109.7777777777778,2369.777777777778,1260,1,45,ba_25,10000,Jackknife k = 1
-999.0,6047.252830500734,7307.252830500734,1260,1,45,ba_25,10000,Chao Lee Jeng 2
0.6894074425947639,12611.931330868132,13966.931330868132,1355,1,50,ba_25,10000,Pseudolikelihood
-999.0,6110.148760330579,7465.148760330579,1355,1,50,ba_25,10000,Chao
-999.0,11200.909217985578,12555.909217985578,1355,1,50,ba_25,10000,Turing Geometric
-999.0,4541.884393063584,5896.884393063584,1355,1,50,ba_25,10000,Schnabel
-999.0,6153.552123917555,7508.552123917555,1355,1,50,ba_25,10000,Zelterman
-999.0,6148.070280685781,7503.070280685781,1355,1,50,ba_25,10000,Chao Lee Jeng 1
-999.0,6377.711094017226,7732.711094017226,1355,1,50,ba_25,10000,Chao Lee Jeng 0
-999.0,4005.588520046317,5360.588520046317,1355,1,50,ba_25,10000,Jackknife k = 4
-999.0,3178.368469387755,4533.368469387755,1355,1,50,ba_25,10000,Jackknife k = 3
