a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
-999.0,281.45238095238096,611.452380952381,330,10,15,38.4,1000.0,Jackknife k = 2
-999.0,176.39999999999998,506.4,330,10,15,38.4,1000.0,Jackknife k = 1
-999.0,244.66438356164383,574.6643835616438,330,10,15,38.4,1000.0,Chao
0.5289884543158614,925.5835904872894,1328.5835904872893,403,10,20,34.45,1000.0,Pseudolikelihood
-999.0,595.2953134840463,998.2953134840463,403,10,20,34.45,1000.0,Turing Geometric
-999.0,3.3752900893879314,406.37529008938793,403,10,20,34.45,1000.0,Huggins
-999.0,84.24825174825173,487.24825174825173,403,10,20,34.45,1000.0,Schnabel
-999.0,430.02128215811945,833.0212821581194,403,10,20,34.45,1000.0,Zelterman
-999.0,618.1994668042656,1021.1994668042656,403,10,20,34.45,1000.0,Jackknife k = 4
-999.0,502.95818713450296,905.958187134503,403,10,20,34.45,1000.0,Jackknife k = 3
-999.0,748.7099882825937,1151.7099882825937,403,10,20,34.45,1000.0,Jackknife k = 5
-999.0,1023.3212908176993,1426.3212908176993,403,10,20,34.45,1000.0,Conway-Maxwell-Poisson
-999.0,204.61749012687392,607.6174901268739,403,10,20,34.45,1000.0,Turing
-999.0,384.18684210526317,787.1868421052632,403,10,20,34.45,1000.0,Jackknife k = 2
-999.0,232.75,635.75,403,10,20,34.45,1000.0,Jackknife k = 1
-999.0,370.5246913580247,773.5246913580247,403,10,20,34.45,1000.0,Chao
31.861382882846108,147.91593372677337,221.91593372677337,74,100,5,18.2,1000.0,Pseudolikelihood
-999.0,280.8100424614449,354.8100424614449,74,100,5,18.2,1000.0,Turing Geometric
-999.0,5.572691249676367,79.57269124967637,74,100,5,18.2,1000.0,Huggins
-999.0,73.64705882352942,147.64705882352942,74,100,5,18.2,1000.0,Schnabel
-999.0,90.71555646046372,164.71555646046372,74,100,5,18.2,1000.0,Zelterman
-999.0,92.75,166.75,74,100,5,18.2,1000.0,Jackknife k = 4
-999.0,86.45000000000002,160.45000000000002,74,100,5,18.2,1000.0,Jackknife k = 3
-999.0,92.75,166.75,74,100,5,18.2,1000.0,Jackknife k = 5
-999.0,57.0,131.0,74,100,5,18.2,1000.0,Conway-Maxwell-Poisson
-999.0,93.13321565444664,167.13321565444664,74,100,5,18.2,1000.0,Turing
-999.0,72.15,146.15,74,100,5,18.2,1000.0,Jackknife k = 2
-999.0,45.599999999999994,119.6,74,100,5,18.2,1000.0,Jackknife k = 1
-999.0,95.55882352941177,169.55882352941177,74,100,5,18.2,1000.0,Chao
54.18295640974539,458.02425750833123,616.0242575083312,158,100,10,18.3,1000.0,Pseudolikelihood
-999.0,961.7533824484747,1119.7533824484747,158,100,10,18.3,1000.0,Turing Geometric
-999.0,4.223009190937546,162.22300919093755,158,100,10,18.3,1000.0,Huggins
-999.0,333.28,491.28,158,100,10,18.3,1000.0,Schnabel
-999.0,432.9468463279617,590.9468463279617,158,100,10,18.3,1000.0,Zelterman
-999.0,339.23611111111114,497.23611111111114,158,100,10,18.3,1000.0,Jackknife k = 4
-999.0,285.51944444444445,443.51944444444445,158,100,10,18.3,1000.0,Jackknife k = 3
-999.0,379.41666666666674,537.4166666666667,158,100,10,18.3,1000.0,Jackknife k = 5
-999.0,375.1409056103564,533.1409056103564,158,100,10,18.3,1000.0,Conway-Maxwell-Poisson
-999.0,392.88019127147174,550.8801912714717,158,100,10,18.3,1000.0,Turing
-999.0,214.56666666666666,372.56666666666666,158,100,10,18.3,1000.0,Jackknife k = 2
-999.0,121.5,279.5,158,100,10,18.3,1000.0,Jackknife k = 1
-999.0,433.92857142857144,591.9285714285714,158,100,10,18.3,1000.0,Chao
0.16046704745716098,3767.874236569095,4068.874236569095,301,100,15,26.733333333333334,1000.0,Pseudolikelihood
-999.0,939.4261484468452,1240.4261484468452,301,100,15,26.733333333333334,1000.0,Turing Geometric
-999.0,4.239526795881773,305.2395267958818,301,100,15,26.733333333333334,1000.0,Huggins
-999.0,293.0,594.0,301,100,15,26.733333333333334,1000.0,Schnabel
-999.0,514.1326352773984,815.1326352773984,301,100,15,26.733333333333334,1000.0,Zelterman
-999.0,573.8076007326007,874.8076007326007,301,100,15,26.733333333333334,1000.0,Jackknife k = 4
-999.0,487.2289377289377,788.2289377289377,301,100,15,26.733333333333334,1000.0,Jackknife k = 3
-999.0,639.0292402042402,940.0292402042402,301,100,15,26.733333333333334,1000.0,Jackknife k = 5
-999.0,1466.0905940962327,1767.0905940962327,301,100,15,26.733333333333334,1000.0,Conway-Maxwell-Poisson
-999.0,369.7346780446976,670.7346780446976,301,100,15,26.733333333333334,1000.0,Turing
-999.0,371.347619047619,672.347619047619,301,100,15,26.733333333333334,1000.0,Jackknife k = 2
-999.0,214.66666666666663,515.6666666666666,301,100,15,26.733333333333334,1000.0,Jackknife k = 1
-999.0,499.0566037735849,800.0566037735849,301,100,15,26.733333333333334,1000.0,Chao
1.4584529083874243,668.4007190109816,1056.4007190109814,388,100,20,28.4,1000.0,Pseudolikelihood
-999.0,811.6400120827507,1199.6400120827507,388,100,20,28.4,1000.0,Turing Geometric
-999.0,3.5505438414863306,391.55054384148633,388,100,20,28.4,1000.0,Huggins
-999.0,246.37777777777774,634.3777777777777,388,100,20,28.4,1000.0,Schnabel
-999.0,371.3014384561517,759.3014384561517,388,100,20,28.4,1000.0,Zelterman
-999.0,554.6841847265222,942.6841847265222,388,100,20,28.4,1000.0,Jackknife k = 4
-999.0,496.4802631578947,884.4802631578947,388,100,20,28.4,1000.0,Jackknife k = 3
-999.0,593.4471007481939,981.4471007481939,388,100,20,28.4,1000.0,Jackknife k = 5
-999.0,664.2684688411491,1052.2684688411491,388,100,20,28.4,1000.0,Conway-Maxwell-Poisson
-999.0,303.9946089152479,691.9946089152479,388,100,20,28.4,1000.0,Turing
-999.0,401.7052631578947,789.7052631578947,388,100,20,28.4,1000.0,Jackknife k = 2
